;Gender;Age;Education
Judge1;Female;23;Bachelor's degree
Judge2;Female;23;Bachelor's degree
Judge3;Female;23;Bachelor's degree
Judge4;Female;26;Bachelor's degree
Judge5;Male;27;Bachelor's degree
Judge6;Female;23;Bachelor's degree
human1;Female;26;Bachelor's degree
human2;Female;23;Bachelor's degree
human3;Female;23;Bachelor's degree
human4;Female;26;Bachelor's degree
human5;Male;27;Master's degree
human6;Male;26;Master's degree
human7;Male;27;Bachelor's degree
human8;Male;26;Bachelor's degree
human9;Female;25;Bachelor's degree
human10;Male;25;Master's degree
